human,gender,cause,date_of_birth,date_of_death,country,occupation,religion
Hermann Göring,male,suicide,1893-01-12T00:00:00Z,1946-10-15T00:00:00Z,Nazi Germany,aircraft pilot,Lutheranism
Manfred Freiherr von Killinger,male,suicide,1886-07-14T00:00:00Z,1944-09-02T00:00:00Z,Germany,politician,Lutheranism
Manfred Freiherr von Killinger,male,suicide,1886-07-14T00:00:00Z,1944-09-02T00:00:00Z,Germany,writer,Lutheranism
Tewodros II,male,suicide,1818-01-01T00:00:00Z,1868-04-13T00:00:00Z,Ethiopia,politician,Ethiopian Orthodox Tewahedo Church
William the Silent,male,homicide,1533-05-04T00:00:00Z,1584-07-10T00:00:00Z,Kingdom of the Netherlands,military personnel,Calvinism
John Brown,male,suicide,1715-11-05T00:00:00Z,1766-09-23T00:00:00Z,Kingdom of Great Britain,philosopher,Church of England
John Brown,male,suicide,1715-11-05T00:00:00Z,1766-09-23T00:00:00Z,Kingdom of Great Britain,playwright,Church of England
John Brown,male,suicide,1715-11-05T00:00:00Z,1766-09-23T00:00:00Z,Kingdom of Great Britain,writer,Church of England
John Brown,male,suicide,1715-11-05T00:00:00Z,1766-09-23T00:00:00Z,Kingdom of Great Britain,poet,Church of England
Manfred Freiherr von Killinger,male,suicide,1886-07-14T00:00:00Z,1944-09-02T00:00:00Z,Germany,diplomat,Lutheranism
Milan Nedić,male,suicide,1878-09-02T00:00:00Z,1946-02-04T00:00:00Z,Kingdom of Yugoslavia,politician,Serbian Orthodox Church
Clara Immerwahr,female,suicide,1870-06-21T00:00:00Z,1915-05-02T00:00:00Z,German Empire,feminist,Lutheranism
John Brown,male,suicide,1715-11-05T00:00:00Z,1766-09-23T00:00:00Z,Kingdom of Great Britain,essayist,Church of England
András Komáromy,male,suicide,1861-11-18T00:00:00Z,1931-12-05T00:00:00Z,Hungary,historian,Calvinism
Phyllis Hyman,female,suicide,1949-07-06T00:00:00Z,1995-06-30T00:00:00Z,United States of America,singer,Lutheranism
Phyllis Hyman,female,suicide,1949-07-06T00:00:00Z,1995-06-30T00:00:00Z,United States of America,actor,Lutheranism
Sylvia Plath,female,suicide,1932-10-27T00:00:00Z,1963-02-11T00:00:00Z,United States of America,writer,Unitarianism
Sylvia Plath,female,suicide,1932-10-27T00:00:00Z,1963-02-11T00:00:00Z,United States of America,novelist,Unitarianism
Sylvia Plath,female,suicide,1932-10-27T00:00:00Z,1963-02-11T00:00:00Z,United States of America,poet,Unitarianism
András Komáromy,male,suicide,1861-11-18T00:00:00Z,1931-12-05T00:00:00Z,Hungary,university teacher,Calvinism
Phyllis Hyman,female,suicide,1949-07-06T00:00:00Z,1995-06-30T00:00:00Z,United States of America,jazz musician,Lutheranism
Sylvia Plath,female,suicide,1932-10-27T00:00:00Z,1963-02-11T00:00:00Z,United States of America,diarist,Unitarianism
